Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Fidel Softech,IT - Software,180.96,13.69,28.04,,20.59,,0.38,,13.87
Fiem Industries,Auto Components,5728.47,58.53,36.96,51.58,20.99,27.8,0.06,15.51,23.81
Filatex Fash.,Textiles & Apparels,183.35,-54.17,-60.24,-17.34,0.41,0.63,0.02,-14.32,43.24
Filatex India,Textiles & Apparels,1925.88,8.59,3.6,5.03,10.61,14.08,0.1,1.36,10.41
Filmcity Media,Entertainment,5.87,-39.81,,,-5.08,-5.07,0,-100,
Filtra Consult.,Other Utilities,72.36,-5.71,26.52,48.6,11.4,16.53,0.08,-8.91,26.12
Filtron Engineer,Commercial Services & Supplies,637.07,,,,,,,,749.49
Finbud Financial,Financial Technology (Fintech),200.02,,,,35.59,33.95,0.84,17.37,20.47
Fine Line Cir.,IT - Hardware,40.28,-19.13,30.82,32.19,2.3,4.45,0.73,0.84,175.13
Fine Organic,Chemicals & Petrochemicals,14441.77,34.46,0.5,15.15,19.47,26.39,0.01,6.25,36.89
Finelistings Tec,Retailing,5.51,-56.25,,,-38.87,-32.56,0.13,-32,
Fineotex Chem,Chemicals & Petrochemicals,2749.39,3.33,0.92,27.97,18.37,23.76,0,2.07,28.31
Finkurve Fin.,Finance,1091.41,-31.25,-1.64,12.06,8.81,11.4,1.16,45.83,49.84
Fino Payments,Banks,1599.37,-13.37,-4.69,,13.31,6.64,3.93,28.84,22.36
Finolex Cables,Industrial Products,13974.07,11.86,7.62,18.41,13.44,17.67,0,16.37,20.52
Finolex Inds.,Industrial Products,11494.33,8.47,3.35,8.28,6.76,8.77,0,-5.57,24.13
First Custodian,Finance,13.12,-40.67,31.68,29.67,11.83,14.87,0,-82.84,
First Fintec,IT - Software,7.25,-0.43,2.57,6.87,-0.85,0.28,0.02,33.86,
Firstsour.Solu.,Commercial Services & Supplies,15070.3,-38.4,23.36,16.47,15.03,15.37,0.54,21.97,21.44
Fischer Medical,Healthcare Equipment & Supplies,2481.22,-55.35,54.82,71.75,0.7,1.08,0.08,215.86,62.7
Five-Star Bus.Fi,Finance,12287.83,-45.22,-8.6,,18.65,16.34,1.23,16.28,11.08
Flair Writing,Household Products,3247.76,43.93,,,12.49,16.12,0.05,18.73,24.09
Flex Foods,Agricultural Food & other Products,54.38,-23.21,-20.54,-11.84,-55.55,-6.18,15.46,21.64,
Flexituff Vent.,Textiles & Apparels,28.65,-75.04,-33.32,-19.1,,8.07,,-77.4,
Flomic Global,Transport Services,84.54,-20.89,-21.32,67.02,8.16,11.84,2.4,-8.45,
Flora Corporatio,Commercial Services & Supplies,6.99,0.25,,,2.31,3.36,0,-36.68,0.99
Fluidomat,Industrial Manufacturing,283.3,-24.05,41.94,44.9,31.44,42.24,0,-4.05,17.5
FlySBS Aviation,Transport Services,824.96,,,,26.22,34.65,0.09,82.08,17.54
Flywings Simula.,Other Consumer Services,191.23,,,,33.11,35.88,0.34,-10.97,17.32
Foce India,Consumer Durables,854.79,11.45,37.43,,20.11,19.06,0.5,45.55,64.03
Focus Business,IT - Software,91.09,135.63,102.2,,12.44,15.47,0.01,18.76,77.19
Focus Lighting,Consumer Durables,440.55,-14.65,-7.88,70,11.31,14.05,0.09,-15.92,120.7
Fone4 Communica.,Retailing,24.35,-41.13,17.54,,-57.74,-33.05,0.2,-65.02,
Fonebox Retail,Retailing,77.98,-21.2,,,14.12,33.64,0.18,24.76,15.26
Foods & Inns,Food Products,428.69,-32.91,-23.41,3.02,8.73,11.92,0.89,2.72,13.77
Forbes & Co,Consumer Durables,428.47,3.15,9.03,52.35,62.38,15.79,0.03,-25.35,18.61
Forbes Precision,Industrial Manufacturing,672.79,-16.52,,,18.84,24.96,0.13,5.64,25.09
Forcas Studio,Textiles & Apparels,184.59,30.6,,,20.61,21.69,0.49,22.84,16.01
Force Motors,Automobiles,32072.34,264.87,169.13,79.34,20.82,29.99,0,14.71,33.43
Forge Auto,Auto Components,91.95,10.94,,,24.92,23.64,0.57,23.46,8.72
Fortis Health.,Healthcare Services,71166.13,53.85,51.89,40.73,10.13,11.96,0.34,15.99,70.62
Fortis Malar,Healthcare Services,101.32,-6.31,1.49,0.66,0.56,0.83,0,-99.09,22.32
Fortune Interntl,Commercial Services & Supplies,47.86,28.26,28.93,41.11,10.19,-0.26,0.01,,14.73
Foseco India,Chemicals & Petrochemicals,4013.67,51.58,31.06,34.18,12.59,17.36,0,22.61,46.21
Foundry Fuel,Consumable Fuels,4.47,-3.97,-0.47,33.78,,,,-50,
Fourth Gen.,IT - Software,3.37,31.76,45.57,17.73,,-14.5,,-76.92,
Fractal Analyt.,IT - Software,13387.48,,,,11.25,12.05,0.21,25.91,76.14
Fractal Industries,Textiles & Apparels,171.14,,,,63.35,29.79,1.76,34.69,22.61
Franklin Indust.,Commercial Services & Supplies,30.08,-73.29,24.93,3.4,28.24,28.09,0,8.16,
Franklin Leasing,Finance,14.08,-41.7,-15.72,,0.56,0.93,0,-10.35,100.57
Fraser & Company,Commercial Services & Supplies,8.07,-1.49,0.34,16.26,-27.13,-24.63,0.19,354.55,
FratelliVineyard,Beverages,388.25,-56.84,47.29,37.93,-15.6,-3.35,0.97,-54.24,
Fredun Pharma,Pharmaceuticals & Biotechnology,871.68,138.71,23.23,23.18,15.83,18.94,1.08,45.86,25.6
Freshara Agro,Food Products,453.53,27.52,,,36.87,24.76,0.65,251.63,14.03
Frog Innovations,Telecom -  Equipment & Accessories,223.75,-53.3,-4.24,,16.07,21.46,0.08,39.09,12.99
Frontier Capital,Commercial Services & Supplies,14.21,-60.34,17.78,,11.54,11.31,0.1,7.41,59.21
Frontier Springs,Auto Components,1703.89,141.65,123.43,72.42,32.04,41.56,0.04,50.73,30.22
Frontline Corp.,Transport Services,14.25,-41.8,4.46,20.41,14.56,4.73,3.39,16.11,5.79
Fruition Venture,Commercial Services & Supplies,16.6,-23.17,4.6,27.04,-3.61,-1.52,0.25,78.89,63.85
FSN E-Commerce,Retailing,76008.47,67.18,22.98,,5.16,9.59,1.01,24.88,502.01
Fujiyama Power,Electrical Equipment,5756.54,,,,49.14,38.88,1.38,66.64,29.73
Fundviser Capit.,Finance,177.66,136.5,221.84,126.85,12.6,,0.64,,111.04
Fusion Finance,Finance,3037.88,24.17,-21.54,,-54.53,-2.96,2.57,-31.28,
Future Consumer,Retailing,71.89,-30.77,-24.9,-46.15,,12.02,,7.54,
Future Ent. DVR,Retailing,11.69,-29.62,-22.38,-25.96,,,,,
Future Enterp.,Retailing,31.25,-21.82,-26.88,-46.81,,-10.84,,-93.09,
Future Lifestyle,Retailing,24.21,-30.64,-40.34,-56.67,,-72.64,,-20.58,
Future Market,Commercial Services & Supplies,50.33,-56.48,18.01,-14.05,31.68,15.83,1.58,-2.59,
Futuristic Sec.,Finance,7.54,12.44,30.41,22.11,0.73,0.72,0,0,754
Futuristic Solu,Finance,43.95,-25.76,10.87,12.69,-0.52,-0.39,0.03,-46.01,91.56
Fynx Capital,Finance,133.6,384.06,118.54,,-20.06,-18.86,0.88,1376.19,
G G Automotive,Auto Components,173.68,-2.74,80.3,,19.7,20.44,0.39,17.38,15.04
G G Dandekar,Industrial Manufacturing,30.64,-34.1,2.64,6.31,0.12,-2.03,0.07,20.38,
G G Engineering,Electrical Equipment,79.22,-53.27,-23.11,-44.08,3.53,5.32,0.01,25.81,14.1
G K Consultants,Finance,12.21,-35.58,8.07,28.83,0.26,0.35,0,55.95,17.7
G K P Printing,Industrial Products,13.44,-3.78,-23.87,-7.56,3.87,4.87,0.09,-1.53,18.67
G M Breweries,Beverages,2274.41,65.26,31.24,24.03,14.57,18.13,0,13.99,13.93
G M D C,Minerals & Mining,18106.92,135.87,60.35,54.97,10.87,14.06,0.04,-6.72,28.31
G M Polyplast,Industrial Products,96.45,-37.69,-10.3,24.46,20.97,28.81,0.05,6.9,13.18
G N F C,Chemicals & Petrochemicals,6684.33,-2.98,-5.65,6.63,7.08,9.57,0,-4.11,10.73
G R Infraproject,Construction,9198.54,-5.44,-2.22,,12.15,13.95,0.63,7.49,8.58
G S Auto Intl.,Auto Components,46.19,-4.47,31.11,50,6.32,12.22,1.1,0.57,22.1
G S F C,Fertilizers & Agrochemicals,6727.5,0.78,9.77,10.91,4.77,6.18,0,6.87,9.72
G V Films,Entertainment,67.13,-35.71,-12.64,-1.08,-2.68,2.36,0.18,434.48,
G-Tec Janix,Other Consumer Services,19.6,-36.44,-20.26,-5.25,-103.44,-79.63,0.62,19.85,
G-Tech Info.,Commercial Services & Supplies,4.51,336.61,111.57,79.56,8.7,8.7,0,-9.09,
Gabion Technol.,Industrial Manufacturing,86.43,,,,35.48,22.73,2.12,-4.2,13.02
Gabriel India,Auto Components,14347.16,115.31,85.61,53.78,19.35,26.14,0.02,13.5,58.21
Gabriel Pet,Industrial Products,136.88,3.98,,,5.09,7.62,0.14,422.29,38.13
GACM Tech,Finance,62.94,-37.97,-20.36,-7.66,14.51,16.43,0,88.02,7.25
GACM Tech-DVR,Finance,8.91,-47.19,-58.88,-16.82,52.85,32.55,0,66.3,2.72
Gagan Gases,Chemicals & Petrochemicals,9.18,-0.49,23.6,25.01,8.49,10.64,0.12,167.14,83.45
GAIL (India),Gas,111467.66,8.65,17.92,11.97,13.09,14.05,0.25,3.07,12.98
Gajanan Sec.Serv,Finance,16.52,-44.81,63.7,,0.19,0.08,0,-22.22,22.03
Gajanand Inter.,Textiles & Apparels,16.29,-29.67,,,1.32,4.22,0.23,-42.67,
Gala Global,Household Products,7.86,-56.1,-43.06,-46.28,-12.27,-1.82,0.82,-1.92,
Gala Precis. Eng,Industrial Manufacturing,959.75,-24.53,,,14.96,17.07,0.09,34.16,28.09
Galactico Corpo.,Diversified,31.71,-31.62,-47.9,7.77,5.75,6.94,0.41,30.06,19.7
Galada Finance,Finance,7.55,27.11,32.15,18.65,4.42,7.64,1.56,49.38,20.97
Galada Power,Electrical Equipment,5.04,,41,30.73,,-16.1,,,
Galaxy Agrico,Industrial Manufacturing,73.75,56.85,44.35,48.99,-2.7,-1.89,0.38,-0.85,
Galaxy Bearings,Industrial Products,151.77,-30.07,-19.95,19.97,13.63,16.13,0.25,-32.32,23.83
Galaxy Cloud,Food Products,81.04,-69.56,4.15,4.89,,,,249.66,76.45
Galaxy Medicare,Healthcare Equipment & Supplies,25.79,,,,14.46,17.72,0.06,8.43,7.01
Galaxy Surfact.,Chemicals & Petrochemicals,6959.06,-10.46,-6.42,-3.39,13.46,16.22,0.11,26.72,23.96
Gallantt Ispat L,Industrial Products,13907.43,88,113.84,62.87,15.11,19.2,0.21,-2.54,29.01
Gallard Steel,Auto Components,147.25,,,,43.19,30.48,0.89,98.81,24.26
Gallops Enterp.,Realty,12.6,27.99,15.08,38.81,-12.81,-12.81,0,-25,114.55
Gamco Ltd,Finance,195.76,6.94,66.57,94.85,6.7,6.98,2.01,114.76,
Game Changers,Textiles & Apparels,196.37,,,,80.63,71.16,0.47,17.97,12.92
Gandhar Oil Ref.,Petroleum Products,1374.52,1.89,,,6.65,10.59,0.26,5.61,12.93
Gandhi Spl. Tube,Industrial Products,1061.48,47.36,20.21,26.86,21.03,27.53,0,11.4,14.78
Ganesh Benzopl.,Oil,592.83,-23.01,-20.35,1.51,13.53,17.56,0.09,-4.94,7.26
Ganesh Consumer,Food Products,711.59,,,,15.81,18.97,0.53,12.04,19.02
Ganesh Green,Electrical Equipment,647.31,-27.2,,,23.03,25.22,0.15,109.12,12.94
Ganesh Holdings,Commercial Services & Supplies,6.22,-35.55,28.06,,-6.93,-6.93,0,-35.71,
Ganesh Housing,Realty,5601.11,-37.96,27.4,62.76,37.79,44.02,0.03,-32.22,13.34
Ganesh Infra.,Construction,336,-37.92,,,36.18,37.9,0.35,77.55,5.3
Ganesha Ecosphe.,Textiles & Apparels,2071.73,-41.09,-3.87,4.54,9.38,11,0.43,-1.72,53.45
Ganesha Ecoverse,Commercial Services & Supplies,58.54,-30.31,-8.33,25.42,-42.12,,0.57,,
Ganga Bath Fitt.,Consumer Durables,37.42,,,,32.78,27.58,0.16,135.13,24.46
Ganga Forging,Industrial Products,40.58,-43.42,-7.07,-1.64,1.01,3.13,0.58,-13.12,
Ganga Papers,"Paper, Forest & Jute Products",86.96,-24.21,1.42,21.85,5.19,6.44,1.3,4.84,59.97
Ganga Pharma.,Pharmaceuticals & Biotechnology,7.09,2.83,-4.85,9.86,1.13,3.18,0.19,-1.1,88.62
Ganges Securitie,Agricultural Food & other Products,123.78,-3.39,5.09,14.99,0.95,1.1,0,-9.09,73.24
Ganon Products,Commercial Services & Supplies,13.47,106.88,,7.41,0.36,8.73,1.07,-90.12,40.82
Garbi Finvest,Finance,15.25,6.3,-24.12,,1.86,2.27,0,-57.37,26.29
Garden Reach Sh.,Aerospace & Defense,27883.1,93.8,77.3,64.94,27.6,36.64,0.01,46.65,40.47
Garg Furnace,Industrial Products,108.26,-19.66,49.03,55.57,13.7,13.54,0.01,11.45,9.89
Garment Mantra,Textiles & Apparels,79.56,39.84,0.38,-11.94,7.31,7.38,0.36,40.81,8.61
Garnet Construct,Realty,122.42,288.49,83.9,33.91,7.47,9.96,0.06,202.45,3.38
Garnet Intl.,Finance,123.21,-53.47,-0.05,13.37,4.67,4.27,0.02,-76.64,26.84
Garuda Cons,Construction,1652.61,68.6,,,22.09,30.09,0,126.38,15.57
Garware Hi Tech,Industrial Products,9790.6,11.76,89.96,46.34,15,20.57,0.01,3.16,31.81
Garware Marine,Textiles & Apparels,13.14,-5.71,39.4,48.64,2.96,3.03,0,-5.36,42.39
Garware Synth,Commercial Services & Supplies,13.31,-20,39.63,40.41,,-3.05,,0.75,28.32
Garware Tech.,Textiles & Apparels,6376.84,-14.68,3.01,4.35,18.72,24.68,0.1,3.03,30.03
Gateway Distri,Transport Services,2939.9,-1.74,-1.54,,12.24,10.65,0.32,45.54,11.98
Gaudium IVF,Healthcare Services,584.19,,,,52.2,48.63,0.41,47.67,24.86
Gautam Exim,Commercial Services & Supplies,84.73,151.14,52.23,66.88,0.98,3.11,0.06,-61.54,770.27
Gautam Gems,Consumer Durables,12.99,-27.89,-40.76,-43.21,0.55,1.35,0.1,-1.7,40.59
Gayatri BioOrga.,Chemicals & Petrochemicals,105.89,125.88,24.59,19.09,,-40.72,,,
Gayatri Highways,Transport Infrastructure,55.12,170.59,39.35,26.86,,2.97,,-79.26,44.45
Gayatri Projects,Construction,237.74,112.37,21.97,-20.2,,7.99,,66.1,1.14
Gayatri Rubbers,Industrial Products,229.52,-11.5,122.02,,22.45,31.91,0.39,30.47,54.52
Gayatri Sugars,Agricultural Food & other Products,63.23,-19.18,39.42,35.69,,36.62,,-13.03,
GB Logistics,Transport Services,31.52,-11.99,,,26.38,28.2,0.57,120.04,2.36
GCM Capital,Finance,6.18,-33.64,-20.74,22.56,-0.7,1.1,0.02,67.11,
GCM Commodity,Finance,3.45,-25.52,-10.86,,-50.34,-49.66,0,-100,
GCM Securit.,Capital Markets,12.73,-25.56,-33.12,-28.68,-17.58,-14.12,0.44,-100,
Gconnect Logitec,Transport Services,8.4,-21.82,,,4.22,6.43,0,5.43,31.11
GDL Leasing,Finance,52.71,,,,8.19,11.58,0.16,167.89,58.57
GE Power,Electrical Equipment,3202.38,102.92,60.21,11.51,105.32,6.09,0.05,18.69,19.07
GE Shipping Co,Transport Services,19115.1,65.15,33.14,34.16,14.09,13.86,0.08,-8.51,8.45
GE Vernova T&D,Electrical Equipment,98584.37,187.69,231.59,96.39,40.35,54.74,0.01,41.16,88.22
GEE,Electrical Equipment,366.13,18.43,24.42,32.34,-4.65,-1.09,0.4,2.12,
GeeCee Vent.,Realty,602.15,-20.38,27.77,23.25,6.65,8.4,0,-68.51,26.87
Geekay Wires,Industrial Products,260.78,-33.71,26.11,25.7,28.48,25.36,0.81,5.14,8.49
Geetanjali Cred.,Finance,2.45,3.36,43.11,39.46,-0.96,-0.96,0.02,-100,
Gem Aromatics,Chemicals & Petrochemicals,1035.44,,,,20.73,19.43,0.32,11.38,35.06
Gem Enviro,Other Utilities,96.97,-52.2,,,14.67,19.71,0,146.39,19.71
Gem Spinners,Textiles & Apparels,32.65,28.19,-8.65,25.34,,-9.92,,,
Gemstone Invest.,Commercial Services & Supplies,11.36,-38.96,22.84,-3.32,1.3,1.91,0,13.61,103.27
General Insuranc,Insurance,67202.29,3.84,38.78,14.15,10.99,13.32,0,13.96,6.98
Generic Engineer,Realty,259.8,70.75,-10.55,-4.2,2.97,7.55,0.23,-10.33,20.27
Genesis IBRC,Pharmaceuticals & Biotechnology,98.09,311.4,88.58,58.85,51.62,51.62,0,-100,
Genesys Intl.,IT - Services,1256.43,-54.68,-8.38,28.96,10.76,15.03,0.21,10.32,29.1
Gennex Lab.,Pharmaceuticals & Biotechnology,273.07,-10.79,28.56,22.11,10.23,13.01,0.41,14.24,15.6
Genomic Valley,Pharmaceuticals & Biotechnology,8.71,-51.56,9.43,3.85,9.69,11.84,0,-16.95,
Genpharmasec,Commercial Services & Supplies,65.34,-41,-20.06,-26.36,1.9,3.35,0.17,229.39,
Gensol Engineer.,Electrical Equipment,96.85,-95.3,-56.29,2.51,22.38,14.33,2.33,74.22,0.94
Genus Paper & Bo,"Paper, Forest & Jute Products",329.64,-24.68,-4.99,12.7,0.61,4.73,0.85,17.84,34.99
Genus Power,Electrical Equipment,7979.63,4.58,44.31,48.18,17.49,19.21,0.93,115.57,14.45
Genus Prime,Chemicals & Petrochemicals,37.36,-0.08,31.77,36.1,-0.09,-0.06,0.15,1195.83,62.27
Geojit Fin. Ser.,Capital Markets,1762.94,-11.47,15.48,6.21,16.83,18.84,0.11,-15.34,17.76
Getalong Enterp.,Commercial Services & Supplies,10.86,-80,-16.02,,15.67,15.31,0.08,-40,10.54
GFL,Finance,502.34,-22.88,-8.98,-11.99,-2.96,-1.89,0,10.67,425.71
GHCL,Chemicals & Petrochemicals,4405.48,-17.09,-1.03,18.27,18.57,24.19,0.03,-5.28,8.69
GHCL Textiles,Textiles & Apparels,730.28,2.43,,,3.96,4.53,0.04,6.43,12.83
Ghushine Fintrra,Textiles & Apparels,10.38,,,,0,0,0.1,211.72,
GHV Infra,Construction,2481.54,727.45,357.74,,,,0.4,,86.34
Gian Lifecare,Healthcare Services,8.84,-39.49,-27.69,-5.07,-0.21,2.4,0.31,-62.85,
GIC Housing Fin,Finance,830.96,-6.87,-2.93,2.6,8.98,8.73,4.52,1.31,5.76
Gilada Finance,Finance,18,22,-3.6,3.11,9.31,12.69,0.38,9.91,8.04
Gillanders Arbut,Agricultural Food & other Products,197.4,-10.41,12.53,17.08,6.83,6.8,0.58,5.74,12.76
Gillette India,Personal Products,27188.21,5.8,21.47,8.47,41.62,56.06,0,10.08,43.82
Gini Silk Mills,Commercial Services & Supplies,34.1,-32.06,18.24,1.72,2.24,3.23,0.08,-1.94,20.18
Ginni Filaments,Textiles & Apparels,333.95,76.59,19.5,15.65,2.14,5.28,0.19,12.06,6.95
Giriraj Civil,Construction,321.49,-49.47,58.74,68.86,14.63,20.32,0.07,116.66,14.9
Gita Renewable,Power,31.94,-34.34,-7.25,40.37,-2.93,-2.93,0,-100,
GK Energy,Construction,2258.17,,,,100.52,74.29,0.53,166.32,12.17
GKB Ophthalmics,Healthcare Equipment & Supplies,29.67,-27.61,-18.65,-3.18,-12.66,-6,0.28,51.01,
GKW,Finance,989.47,4.97,48.12,26.51,-0.75,-0.37,0,28.17,139.36
Glance Finance,Finance,43.99,31.85,52.48,34.62,5.67,9.46,0.03,-38.24,42.71
Gland Pharma,Pharmaceuticals & Biotechnology,30021.91,17.35,12.12,-5.03,7.81,11.89,0.03,6.7,34.74
Glaxosmi. Pharma,Pharmaceuticals & Biotechnology,43564.46,3.89,24.38,12.03,46.87,63.25,0.02,2.59,43.31
Gleam Up Jwel Limiteed,Commercial Services & Supplies,13.57,54.86,,50.93,0.1,0.13,0.54,2995.38,678.5
GLEN Industries,Industrial Products,179.26,,,,36.35,20.42,0.84,18.83,9.94
Glenmark Pharma.,Pharmaceuticals & Biotechnology,60297.85,67.07,70.76,35.49,15.79,19.4,0.13,25.44,22.28
Glittek Granites,Other Construction Materials,205.68,1885.71,207.69,115.12,-280.48,-115.33,0.06,-89.19,8.1
Global Cap.Mkt.,Finance,20.71,-31.58,-17.32,45.41,-1.87,-1.77,0,-38.65,17.4
Global Education,Other Consumer Services,511.66,95.68,9.02,58.69,26.67,35.93,0,15.04,23.91
Global Health,Healthcare Services,30609.85,-0.94,30.73,,16.48,19.74,0.25,17.16,54.05
Global Longlife,Healthcare Services,17.84,-29.21,-27.99,,-17.68,-13.69,0,-100,
Global Ocean,Transport Services,189.56,,,,52.56,61.29,0.19,86.46,27.79
Global Offshore,Transport Services,153.84,-40.95,10.11,39.42,-8.58,-5.07,0.47,2.19,
Global Pet Indus,Industrial Manufacturing,133.2,3.67,,,11.42,14.73,0,19.86,36
Global Surfaces,Consumer Durables,350.92,-26.93,,,-9.08,-1.97,0.71,-5.21,
Global Vectra,Transport Services,228.49,-30.06,44.72,28.35,-2.97,6.66,140.88,-5.19,
Globale Tessile,Textiles & Apparels,12.08,-49.35,,,-6.77,-0.47,1.07,-26.51,
Globalspace Tech,IT - Software,63,16.01,-1.6,-10.23,1.41,2.13,0.16,13.31,252
Globe Civil,Construction,302.06,,,,26.2,23.28,0.63,13.98,12.69
Globe Commercial,Commercial Services & Supplies,10.29,-45.06,-26.65,22.43,7.3,10.07,0,360.78,0.36
Globe Enterprises,Textiles & Apparels,119.81,0,6.53,-0.3,6.61,10.45,1.08,11.73,15.09
Globe Intl. Car.,Transport Services,541.86,87.96,69.04,88.76,8.51,11.18,0.62,36.82,55.46
Globesecure Tech,IT - Services,43.04,18.42,-40.94,,-8.6,-4.85,0.15,-41.44,
Globtier Infotec,IT - Services,35.53,,,,31.73,31.11,0.04,7.04,5.9
Globus Power,Power,125.27,-20.73,-4,14.87,-7.29,-7.29,0,-100,
Globus Spirits,Beverages,2592.28,3.37,1.92,21.99,2.54,5.8,0.45,10.48,32.57
Gloster Ltd,"Paper, Forest & Jute Products",615.34,-1.2,-4.99,13.82,-1.31,1.55,0.7,106.83,80.86
Glottis,Transport Services,445.01,,,,79.56,89.96,0.25,89.3,11.6
GMM Pfaudler,Industrial Manufacturing,4194.96,-15.72,-16.14,-8.19,6.64,13.09,0.92,8.11,37.47
GMR Airports,Transport Infrastructure,106254.98,44.85,37.99,32.9,,6.92,,37.36,
GMR Urban,Power,9394.08,21.85,85.97,,,13.18,8.23,13.21,
GNA Axles,Auto Components,1798.8,39.76,-2.71,16.52,12.54,14.31,0.22,-5.76,16.11
GNG Electronics,IT - Hardware,4397.99,,,,35.33,19.84,0.32,23.98,42.04
Go Digit General,Insurance,31039.08,10.14,,,11.87,10.8,0.08,9.48,60.8
Go Fashion (I),Retailing,1671.85,-56.37,-31.21,,14.32,15.09,0.72,2.62,23.51
Goa Carbon,Minerals & Mining,332.1,-13.82,-7.29,2.17,-10.32,-2.28,2.08,13.11,
Goblin India,Consumer Durables,11.29,-65.23,-50.86,-20.88,4.63,7.73,0.29,16.74,15.26
GOCL Corpn.,Chemicals & Petrochemicals,1303.76,-8.7,-5.77,1.82,7.45,7.02,0.06,-93.86,5.29
Godavari Bioref.,Diversified FMCG,1507.9,83.58,,,-3.79,5.79,0.68,5.11,27.97
Godavari Drugs,Pharmaceuticals & Biotechnology,58.52,-5.17,-0.53,13.98,10.57,10.1,1.63,-22.41,16.72
Godawari Power,Industrial Products,17854.41,70.8,53.98,55.55,17.23,23.25,0.04,-3.66,24.07
Godfrey Phillips,Cigarettes & Tobacco Products,32996.38,22.29,51.99,47.72,19.93,26.32,0.03,25.73,25.42
Godrej Agrovet,Food Products,12313.86,-10.47,13.32,5.95,17.68,16.59,1.19,6.93,26.7
Godrej Consumer,Personal Products,124580.03,21.13,10.11,12.15,15.21,19.21,0.34,7.29,64.13
Godrej Industrie,Diversified,33446.4,-9.53,33.38,17.05,9.64,7.83,4.48,10.18,33.24
Godrej Propert.,Realty,52138.82,-10.6,15.64,2.37,8.98,6.57,0.89,-10.22,32.62
Goel Construct.,Construction,419.04,,,,34.25,38.7,0.1,52.82,10.94
Goel Food,Leisure Services,20.93,-24.28,-25.64,,20.54,17.54,1.15,15.21,4.19
Goenka Business,Finance,12.14,-18.07,8.22,26.79,-1.85,52.31,0,71.7,26.39
Gogia Capital,Capital Markets,50.57,-25.89,24.33,13.86,-16.31,-16.07,0,-111.73,
Gokak Textiles,Textiles & Apparels,46.15,4.72,43.08,21.51,,-0.85,,-29.09,
Gokaldas Exports,Textiles & Apparels,4685.16,-21.37,16.96,50.79,8.16,10.62,0.46,7.45,40.04
Gokul Agro,Agricultural Food & other Products,5004.08,29.52,44.1,72.85,26.95,34.2,0.48,29.47,16.73
Gokul Refoils,Agricultural Food & other Products,399.35,-18.17,7.69,16.44,4.12,8.4,0.96,17.22,20.72
Golden Carpets,Consumer Durables,6.56,-20.85,5.71,17.55,,-2.85,,25.61,
Golden Crest,Other Consumer Services,135.53,-63.23,82.66,60.71,1.49,2.05,0,-10.81,968.07
Golden Legand Ls,Finance,15.94,32.02,,,-17.55,-11.71,0.02,2082.82,2.63
Golden Tobacco,Realty,52.54,-20.66,-19.02,-8.15,,,,49.54,9.91
Goldiam Intl.,Consumer Durables,3971.32,-4.04,35.79,38.18,17.13,24.59,0.02,28.83,25.37
Goldkart Jewels,Consumer Durables,428.53,15.73,121.48,90.41,7.72,10.61,0.23,32.72,98.51
Goldstar Power,Auto Components,226.1,-20.2,-6.03,55.11,,,0.16,,16.38
Golech.Glob.Fin.,Commercial Services & Supplies,12.75,-1.53,0.13,28.57,-6.81,-7.28,0,-3.15,
Golkonda Alumin.,Non - Ferrous Metals,4.61,-10.82,-30.38,1.06,0.74,0,297.62,-11.11,51.22
Golkunda Diamond,Consumer Durables,202.64,25.9,34.99,72.25,19.79,19.88,0.52,1.28,16.66
Goodluck India,Industrial Products,3911.18,85.72,41.09,74.75,13.64,15.1,0.72,10.25,23.27
Goodricke Group,Agricultural Food & other Products,333.29,-17.62,-6.47,-7.3,2.86,3.22,0.37,-10.62,114.53
Goodyear India,Auto Components,1841.22,-4.64,-8.94,-4,9.31,13.01,0.05,-3.66,32.48
Gopal Iron Stl.,Industrial Products,5.68,65,4.92,14.11,-2.22,-1.4,0.58,-70.07,
Gopal Snacks,Food Products,3719.98,7.28,,,11.42,16.31,0.15,-6.17,105.08
Gorani Industrie,Consumer Durables,33.95,-34.27,-29.36,39.74,6.68,9.7,0.9,-22.9,36.9
Gothi Plascon,Consumer Durables,38.78,-7.49,7.68,14.17,14.24,18.85,0.18,9.26,21.79
Gourmet Gateway,Leisure Services,175.52,-37.3,39.53,61.07,-3.12,4.32,1.31,15.38,
Gowra Leasing,Finance,69.65,32.21,70,39.69,16.9,18.34,0.74,184.82,12.92
Goyal Aluminiums,Commercial Services & Supplies,98.06,-17.92,-36.99,44.78,10.84,10.7,0.06,-26.76,38.61
Goyal Associates,Finance,4.61,-43.14,-26.6,-20.03,16.91,17.37,0.19,-56.21,19.21
Goyal Salt,Food Products,224.47,-20.13,,,15.63,16.92,0.76,7.68,21.79
GP Eco Solutions,Electrical Equipment,419.99,27.81,,,23.61,25.36,0.9,78.01,26.14
GP Petroleums,Petroleum Products,163.56,-17.43,-1.58,-5.71,8.38,10.81,0.05,12.62,6.04
GPT Healthcare,Healthcare Services,1036.02,-3.57,,,21.3,27.23,0.38,10.48,25.56
GPT Infraproject,Construction,1567.17,33.58,69.43,64.55,19.58,21.87,0.33,13.94,17.48
Grameva,"Paper, Forest & Jute Products",30.24,9.09,51.97,35.68,6.17,9.42,1.1,-14.77,60.48
