Stock,Industry Group,Market Cap,Return  1yr,Return 3yr,Return 5yr,ROE,ROCE,Debt to equity,REV growth,PE
Abhishek Finle.,Finance,19.54,-27.38,17.52,27.02,2.11,3.24,0,-42.86,1954
Abhishek Infra.,Realty,3.42,15.9,2.21,22.08,-5.29,-4.05,0.33,,
Abhishek Integr.,Construction,22.01,-31.04,19.66,,10.57,13.54,0.84,10.66,20.57
Abirami Fin.,Finance,19.04,-24.74,24.56,51.82,2.87,4.05,0,,38.86
ABM Knowledge,IT - Software,444.55,47.97,39.5,12.47,6.27,9.55,0,3.51,39.06
Abram Food,Food Products,48.96,,,,51.83,37.95,0.29,79.04,16
Abril Paper,Industrial Products,29.65,,,,16.28,20.04,0.07,791.8,18.08
ABS Marine,Transport Services,413.42,45.86,,,15.56,14.2,1.34,33.06,8.23
ACC,Cement & Cement Products,29903.24,-12.44,-3.45,-2.14,13.23,17.44,0.02,16.38,11.88
Accedere,IT - Software,25.32,-39.17,-6.49,41.34,4.82,3.08,0.13,-4.79,253.2
Accel,IT - Software,67.99,-37.65,-4.27,-2.22,1.9,7.93,0.96,1.39,28.25
AccelerateBS Ind,IT - Software,60.27,49.83,,,17.63,22.18,0,-5.74,41
Accelya Solution,IT - Software,1786.23,-6.87,1.49,5.95,45.47,53.61,0.33,3.49,15.77
Accent Microcell,Pharmaceuticals & Biotechnology,840.94,70.08,,,18.44,23.66,0,5,24.26
Accord Synergy,Telecom - Services,10.26,28.2,4.36,5.14,-10.23,-9.91,0.05,14.63,11.93
Accord Transformer,,94.64,,,,44.38,36.84,0.55,62.79,15.46
Accretion Nutraveda,Pharmaceuticals & Biotechnology,144.8,,,,81.18,56.66,0.54,219.36,55.48
Accretion Pha.,Pharmaceuticals & Biotechnology,78.92,,,,65.35,46.36,0.17,158.7,8.69
Accuracy Shippi.,Transport Services,73.47,-38.62,-32.83,-5.1,3.93,8.19,1.08,-15.29,29.74
ACE Alpha Tech,IT - Software,186.12,,,,41.01,54.34,0,-17.49,14.74
ACE EduTremd Ltd,Other Consumer Services,4.27,35.86,26.17,25.11,-7.83,-7.12,0,,
Ace Engitech,IT - Services,11.54,-32.34,130.67,109.88,-150,-147.69,,-100,
Ace Integrated,Commercial Services & Supplies,18.5,-18.18,-29.54,,-7.55,-10.3,0.01,-79.29,
Ace Men,Retailing,134.63,20.52,14.75,26.25,-0.52,-0.52,0,,
Ace Soft. Exp.,IT - Software,340.13,-15.94,189.91,102.47,8.06,9.97,0.14,56.3,48.04
Acetech E-Commerce,,183.5,,,,,,0.02,16.65,26.67
Achyut Healthcar,Pharmaceuticals & Biotechnology,124.37,53.49,46.77,,1.77,2.26,0,-3.24,289.23
ACI Infocom,IT - Hardware,14.25,-42.67,14.03,30.56,-5.83,-5.89,0,111.11,
Acknit Indus.,Textiles & Apparels,79.1,18.98,24.33,22.78,10.81,10.79,0.62,-1.78,10.22
Acme Resources,Finance,76.85,-27.16,17.33,11.02,2.74,3.32,0.09,56.25,
ACME Solar Hold.,Power,14300.93,22.22,,,7.57,8.42,2.72,61.73,28.5
Acrow India,Industrial Products,43.91,2.41,-9.24,40.24,-1.58,2.1,0,,231.11
ACS Tech,IT - Services,243.94,,,,5.01,6.79,0.41,60.73,31.93
